Deploymentstrategy: square
Robots: 50
Viewingrange: 50

Results: 
Iterations: 79
TotalDistance: 586,809575
TotalMangan: 312,230000

Robots coordinates:
205 195
217 191
222 210
213 204
199 207
193 192
193 179
205 183
219 179
230 185
228 198
237 207
229 218
218 224
209 216
194 219
182 215
188 204
181 191
179 180
185 169
197 165
207 172
221 166
231 173
243 181
240 194
252 188
251 203
245 217
236 227
224 235
211 238
196 238
204 227
187 230
175 226
168 214
176 203
162 200
169 190
165 179
172 167
182 157
195 152
208 149
210 161
222 152
234 159
244 169
