Deploymentstrategy: spiral
Robots: 50
Viewingrange: 50

Results: 
Iterations: 78
TotalDistance: 530,970590
TotalMangan: 301,840000

Robots coordinates:
253 242
255 228
264 237
262 252
245 252
234 245
243 237
231 231
242 225
248 215
260 216
269 224
276 234
273 247
275 260
265 265
253 261
233 259
223 250
221 237
232 216
239 206
252 203
275 213
283 224
287 238
285 251
278 273
254 274
242 266
221 266
209 242
222 223
224 206
246 192
265 205
285 207
297 231
297 247
289 263
265 279
244 280
231 274
213 255
210 228
213 213
232 196
261 192
275 198
294 217
