Deploymentstrategy: angularspiral
Robots: 50
Viewingrange: 50

Results: 
Iterations: 82
TotalDistance: 788,708547
TotalMangan: 433,610000

Robots coordinates:
252 224
239 244
248 237
239 228
241 216
262 217
273 214
263 231
259 243
255 261
249 251
240 259
229 251
230 234
226 223
239 203
229 211
252 210
262 201
274 203
284 216
274 227
273 239
266 251
279 252
267 262
264 275
250 273
238 271
226 263
216 253
220 241
210 236
214 224
214 212
222 200
232 192
244 187
250 198
258 187
270 189
283 195
291 206
298 218
287 229
299 232
285 241
296 246
289 258
279 267
