Deploymentstrategy: circle
Robots: 52
Viewingrange: 50

Results: 
Iterations: 83
TotalDistance: 1077,511986
TotalMangan: 589,060000

Robots coordinates:
790 695
770 706
788 708
752 692
781 725
759 705
770 733
778 714
756 716
759 739
767 720
744 717
755 728
733 715
733 740
746 742
730 727
743 729
748 704
720 735
711 725
720 718
724 705
704 714
737 703
701 701
713 706
711 682
714 694
701 687
708 670
728 694
735 679
723 684
732 655
719 661
746 667
723 672
745 654
734 667
747 679
757 655
740 691
769 661
759 682
757 669
780 669
768 674
765 693
786 682
774 684
778 696
